x,y,label
float,float,int
,,C
0.23482553440487747,2.0860802263462782e-05,-1
0.48358031959621456,2.0896884532212721e-05,-1
0.73232566323434578,2.0932547998066272e-05,-1
0.98106142884976666,2.096778711257257e-05,-1
1.2297877519176821,2.1002605026651768e-05,-1
1.4785045700148707,2.1037001745873965e-05,-1
1.7272117623113288,2.1070979211825415e-05,-1
1.9759091951486007,2.1104534905745484e-05,-1
2.2245967976999621,2.1137665699881891e-05,-1
2.4732745219916725,2.1170369528601931e-05,-1
2.721942328942994,2.1202644974798319e-05,-1
2.9705999725922529,2.1234491618038305e-05,-1
-3.0639376906018194,2.1265907468100695e-05,-1
-2.815300075123361,2.1296892650804437e-05,-1
-2.5666725918938935,2.132744709452247e-05,-1
-2.3180554154624389,2.1357568659975366e-05,-1
-2.0694485731565768,2.1387257729362409e-05,-1
-1.8208521780876579,2.1416510841910019e-05,-1
-1.5722662713668956,2.1445333736087247e-05,-1
-1.3236909645089618,2.1473721661780809e-05,-1
-1.0751263269825604,2.1501673714147024e-05,-1
-0.82657240493017736,2.1529188816955516e-05,-1
-0.57802931256317047,2.1556267392158323e-05,-1
-0.3294969811154223,2.1582907876253482e-05,-1
-0.080975601322758411,2.1609111219601575e-05,-1
0.16753480622661834,2.1634877321420976e-05,-1
0.41603417865420989,2.1660206650435726e-05,-1
0.66452236445358137,2.1685098558958595e-05,-1
0.91299930673589569,2.1709553490307425e-05,-1
1.1614649084805733,2.1733571175138152e-05,-1
1.4099190906767136,2.1757153100366042e-05,-1
1.6583617318799624,2.1780299419121145e-05,-1
1.9067928636402747,2.1803001878186881e-05,-1
2.1552124330317559,2.1825264988522179e-05,-1
2.4036202851973592,2.184709192255215e-05,-1
2.6520163050249344,2.1868483006873092e-05,-1
2.9004002822719586,2.1889438538968834e-05,-1
-3.1344130990282406,2.1909957179486679e-05,-1
-2.8860531575093908,2.193003930226954e-05,-1
-2.6377052104112542,2.1949686747995622e-05,-1
-2.3893694534787042,2.1968898925836468e-05,-1
-2.1410459400733171,2.198767661981162e-05,-1
-1.8927347154879028,2.2006022014713944e-05,-1
-1.6444358718773804,2.2023936941677644e-05,-1
-1.3961495002331283,2.2041420715003316e-05,-1
-1.1478756694760244,2.2058474375603755e-05,-1
-0.89961453174737638,2.2075101232573341e-05,-1
-0.65136614237277257,2.2091300933067218e-05,-1
-0.40313065922777125,2.2107075096360994e-05,-1
-0.15490819425722613,2.2122424079409528e-05,-1
0.093301507560841726,2.2137349185697642e-05,-1
0.3414982468782477,2.2151853292451303e-05,-1
0.58968180214186028,2.2165937159645197e-05,-1
0.83785219322826399,2.2179605047848692e-05,-1
1.0860091294189778,2.2192852566650782e-05,-1
1.3341526153094705,2.2205682353335244e-05,-1
1.5822825903477584,2.2218100437135727e-05,-1
1.8303989353767365,2.2230106624898759e-05,-1
2.0785015221060328,2.2241703191858101e-05,-1
2.3265904007903369,2.2252887664190148e-05,-1
2.5746654297189178,2.2263664076523572e-05,-1
2.8227265177970304,2.2274034351656679e-05,-1
3.0707735459987608,2.2284000198833058e-05,-1
-2.9643787641170696,2.2293563410523695e-05,-1
-2.7163599313266036,2.2302725621568204e-05,-1
-2.4683551445750878,2.2311492013444147e-05,-1
-2.2203646778144019,2.2319861142702161e-05,-1
